IncidentDateTime,City,IncidentState,Country,Shape,DurationSeconds,Comments
00:00.0,saint marys,wv,us,unknown,10,A V-shape formation made up of approximately 8-10 lights.
30:00.0,australia,,,disk,180,Chromed disc shapped object moving irractically&#44 dissapearing/reapearing&#44 very fast to floating at times. Clear skies at dusk.
00:00.0,ivanka pri dunaji (slovakia),,,light,20,I with my frends smoked in our small town located in state Slovakia in the middle of europe and we saw a lightball above near city Brat
00:00.0,tunisia (in-flight; over ocean),,,formation,420,Bright triangular formations in the sky
30:00.0,dehradun (uttar pradesh) (india),,,flash,2,It was a conical flare at very high speed( 50M?)&#44 no sound and it was there for few seconds.
15:00.0,erode (india),,,rectangle,60,Greenish box shape object at Erode&#44 India.
30:00.0,new delhi (india),,,cylinder,180,UFO SEEN OVER NEW DELHI (INDIA)
30:00.0,chawton&#44 hampshire (uk/england),,,light,12,Circular bright orange light in the night sky that glowed twice (on/off) before disappearing
00:00.0,setif (algeria),,,light,60,One of very bright and big sphere was standing alone with a small boarded one. The another big sphere approached.
00:00.0,goa (india),,,other,600,While driving back from Panji to Goa we observed three peculiar cloud formations stacked one above the other.The sky was clear and the
30:00.0,port of spain (trinidad),,,sphere,40,Round&#44 white sphere&#44 moving at incredible speed&#44 stopping and moving at right angles.
20:00.0,baghdad (iraq),,,light,30,Strange light captured on CNN &quot;Special Report&quot; from Baghdad
30:00.0,hyvink&auml;&auml; (finland),,,other,90,The story of strange satellites REVEALED
30:00.0,pohang (south korea),,,light,2700,Over 70 soft lights seen hovering over Pohang&#44 South Korea.
00:00.0,pitesti (romania),,,light,480,I was on the porch smoking a cigarette&#44 looking up and I saw something that looked like a normal star&#44 with the exception that it was c
57:00.0,tuaran (sabah) (malaysia),,,fireball,240,2 glowing fireball (white blue) crossing from west coast going to Mt. Kinabalu direction. Elevation more than ten thousands feet approx
35:00.0,palampur (india),,,other,30,while on our evening walk in the hills  this umbrella shaped being with what seemed to be its legs slightly above ground startled us
00:00.0,kalgoorlie (australia),,,light,240,seen in kalgoorlie Australia  2 star shaped lights (flashing)
36:00.0,st. helier (jersey channel islands) (uk/england),,,light,20,Bright white light seen in daylight over Channel Islands moving on East to West course
20:00.0,chennai (tamil nadu) (india),,,circle,120,A bigger bright light moving slowly&#44 in night sky for aprox. 2 min was seen&#44 no sound heard and suddenly the bright light started to di
40:00.0,koh samui (thailand,,,sphere,240,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand.
40:00.0,koh samui (thailand,,,sphere,240,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand. ((ADDENDUM))
14:00.0,seoul (south korea),,,oval,1200,12 UFOs spotted hovering North of Seoul before speeding off North into restricted airspace.
20:00.0,janico (santiago) (dominican republic),,,circle,120,The craft stood directly above the center of the town&#44 the most vivid assortment of lights.  In the blink of an eye&#44 it dissappeared&#44 l
00:00.0,prishtina,,,circle,20,Orange Circle
45:00.0,almelo (netherlands),,,triangle,10,3 People seeing 2 wild moving silent triangular shaped crafts surrounded in a orange halo of light&#33&#33&#33
00:00.0,uk/england,,,triangle,60,RED TRIANGLES&#44 WHITE SPOTS--------VERY FAST&#33&#33&#33&#33&#33
00:00.0,bladel (brabant) (netherlands),,,light,2700,Report from the Dutch news
00:00.0,japan,,,other,120,LARGE&#44 WHITE UNMOVING CRAFT - POSSIBLY DAMAGED
30:00.0,mendota,va,us,sphere,18000,Sighting of an anomalous object for 5 hours.  ((NUFORC Note:  Probably a sighting of Sirius&#44 I suspect.  PD))
00:00.0,hialeah,fl,us,changing,30,((HOAX??))  An air plain flying on top of the ufo.
00:00.0,jeffersonville,in,us,disk,3600,Bright&#44 flashing object see overhead in Jeffersonville.
30:00.0,flemingsburg,ky,us,triangle,60,triangular&#44 flat&#44 with orb shaped compartment in the back of the craft
34:00.0,aurora,oh,us,oval,1140,On October 31&#44 2008&#44 we think we have found a possible oval ufo.  ((NUFORC Note: Sirius??  PD))
30:00.0,franklin,tn,us,triangle,120,Black triangular&#44 round or rectangular object in broad daylight or sunset.
00:00.0,ovid,mi,us,sphere,15,Sphere shaped object flying at an incredible speed during the day
30:00.0,cambridge,ma,us,light,60,Maybe nothing&#44 maybe something?
00:00.0,spokane,wa,us,changing,360,After 10 minutes there was no sign of the object in any direction from where we first observed it.
53:00.0,moline,il,us,circle,240,Two seperate orbs pass slowly over my house.
00:00.0,lower burrell,pa,us,fireball,60,circular flaming craft&#44  vanished after 1 minute
00:00.0,wakefield,ri,us,flash,1,Bright&#44 white flash
30:00.0,kingman,az,us,light,1200,Three small green lights moving across Kingman&#44 AZ.
50:00.0,springfield,or,us,fireball,600,Orange Glowing Ball Over Springfield Oregon Moving NW to SE Across The City
00:00.0,valrico,fl,us,light,120,Strange Light In The Sky
01:00.0,brecksville,oh,us,triangle,120,Triangle craft in clearing at Cuyahoga Valley National Forest
15:00.0,o&#39fallon,mo,us,light,180,2 orange lights travelling in a loose formation West to East about 20 degrees above the horizon
00:00.0,roswell,ga,us,sphere,300,Pulsating/Oscillating Sphere or Orb spotted in Metro Atlanta.  ((NUFORC Note:  Possible sighting of Venus??  PD))
05:00.0,orange,ca,us,unknown,600,Lights over Orange&#44 Ca
50:00.0,hibbing,mn,us,egg,1.5,object  seen in hibbing&#44 mn traveling west faster than any plane or comet and much lower than a shooting star and brighter than an airp
00:00.0,fenton,mo,us,sphere,1800,Saw three streaks in sky to right. Looked up saw three orange spheres heading toward St. Louis (but could see outer edges of round tria
00:00.0,los angeles,ca,us,fireball,8,Green fireball moving very low across the sky&#44 throwing off sparks like fireworks.
40:00.0,hermosa beach,ca,us,triangle,600,Two lighted objects dancing in the sky above Los Angeles on Oct. 31&#44 2008
46:00.0,south gate,ca,us,fireball,2,Driving north on 710 before Atlantic Blvd&#44 fireball (shooting Star?)straked across sky Northwest&#44 streaks of blue&#44green&#44yellow high rat
00:00.0,erie,pa,us,oval,5,I saw something I&#39m not sure what it was when getting in my van&#44 as I was getting ready to take my wife to work.
25:00.0,anderson,in,us,fireball,900,Nine glowing objects seen over my house in Anderson Indiana
30:00.0,farragut,tn,us,light,10800,Bouncing Lights in the sky
15:00.0,belen,nm,us,formation,900,Observed 4 light formation blinking red/green at a frequency of 1 per second approx 20 miles ESE of belen nm altitude approx 10000 ft.
00:00.0,chesterton,in,us,circle,60,Bright orange ball moving slowly
00:00.0,indianapolis,in,us,fireball,60,Orange &quot;flaming&quot; light rising&#44 then abruptly changing directions and slowly disappearing in the horizon.
20:00.0,chicago,il,us,fireball,600,Bright orange colored UFO in Chicago
35:00.0,camas,wa,us,circle,600,Bright orange circular object moving across sky
00:00.0,omaha,ne,us,sphere,180,Strange orange orb on 10/31
00:00.0,springville,ca,us,triangle,600,Three bright lights over springville
30:00.0,hastings,mn,us,oval,10,Small fast moving Cloud like looking UFOs > Moving in same direction at same fast speed.
30:00.0,santa monica,ca,us,triangle,300,V shaped formation with orange lights hovers over area and then seemingly vanishes
00:00.0,corpus christi,tx,us,oval,120,Three circular outlines made of red lights; two drifted away in different directions&#44 one lingered and then left.
23:00.0,westland,mi,us,triangle,5,Possible Metro Detroit U.F.O.
25:00.0,college station,tx,us,disk,7200,Orange glowing crafts seen over College Station&#44 Tx
15:00.0,las vegas,nv,us,rectangle,3600,Noticed a bright white light moving across the sky in the north/northwest sky of Las Vegas&#44 Nevada.  It appeared high in the sky.  It w
30:00.0,jupiter,fl,us,oval,180,On October 31st @ 7:30 pm I locked my truck in my driveway and turned to go back in the front door. I gazed up at the sky and noticed w
41:00.0,philipsburg,pa,us,circle,4,Night observation of bright&#44 white circular light descending soundlessly in straight path from sky toward the ground.
00:00.0,roselle,il,us,NULL,900,cylinder  shaped flying steady like a hawk on top of my dad&#39s house.
06:00.0,oak lawn,il,us,light,360,((HOAX??))  I bet it was that Chupacabra from the 80&#39s that I saw flying this want to be Dish UFO
00:00.0,pittsburgh,pa,us,fireball,60,glowing fireball seen in the sky over Pittsburgh&#44 PA
15:00.0,cincinnati,oh,us,fireball,240,Four reddish-orange lights traveling slowly across the sky in Cincinnati&#44 OH
30:00.0,jupiter,fl,us,oval,180,We saw a questionable object in the sky?
30:00.0,northridge,ca,us,triangle,15,rounded &#8220;boomerang&#8221; shape of about seven or nine dark circles moved slow and absolutely quiet
53:00.0,o&#39fallon,mo,us,changing,540,Bright white light seen from a distance over O&#39fallon&#44 Mo. gradually changed shapes. After slow hesitation...disappeared quickly&#33
30:00.0,monroe,ct,us,fireball,6,Green fireball with tail seen traveling Southeast. After about 6 seconds it was gone
30:00.0,mooresville,nc,us,light,600,Two slow moving bright orange orb shaped lights
34:00.0,holiday,fl,us,unknown,120,Glowing red light in the sky that moved rapidly upwards at very highspeeds and disappeared over the Gulf of Mexico in Holiday&#44 Florida.
50:00.0,stayton,or,us,changing,900,A cylindrical&#44 than triangulat object floating in the sky with many different colors of light flickering&#33&#33&#33
15:00.0,dunsmuir,ca,us,circle,30,Big&#44 bright light that left tracers behind it&#44 which abruptly stopped in the sky until it later blinked out of sight.
30:00.0,cambridge,oh,us,formation,300,line of strange blinking lights over eastern Ohio sky
50:00.0,bardstown,ky,us,chevron,900,Chevron shaped craft
00:00.0,hardshell,ky,us,light,60,Orange lights.
15:00.0,colorado springs,co,us,formation,3600,Firework type of formation hovering south of Pike&#39s Peak
45:00.0,torrance,ca,us,rectangle,300,Early morning Sighting in Torrance CA from 110 Fwy Pulsing Stationary object
30:00.0,monroe,mi,us,fireball,240,Me and my fiancee were out side taking down are holloween decorations and she was throwing something away in the garabage at curb.She y
00:00.0,dover,nh,us,triangle,10,Bright triangular object quickly disappeared.  10 second view.
00:00.0,parma,oh,us,light,60,Halloween lights over Parma Ohio
00:00.0,fes (morocco),,,circle,120,Looking off balcony at night sky curious because of what I had witnessed in recent days.  Noticed small streak of light like falling st
00:00.0,cuernavaca (mexico),,,flash,10,Two star-like objects sighted in Cuernavaca&#44 Mexico&#44 one flashed and then both disappeared.
00:00.0,beruit (lebanon),,,unknown,900,Iwas serving aboard the U.S.S. Mount Whitney&#44 during the October War between Israel&#44 Egypt&#44 and Seria. I was a radarman&#44 and I reported
00:00.0,chigwell essex (uk/england),,,other,15,High Altitude RED fast moving (later violently manouvering) oval/ bean shaped object Essex UK
00:00.0,libya,,,circle,60,A bright red circle shaped object that was moving straight and zigzaging.
00:00.0,pelarco (chile),,,diamond,420,An object triangle shape that shine and have different speeds and directions.
30:00.0,harlow&#44 essex (uk/england),,,sphere,30,Craft vanishes after crossing the path of an aeroplane.
45:00.0,malmesbury,,,oval,60,Malmesbury Aliens in Somerfield Area
00:00.0,kirby bellars (leicstershire) (uk/england),,,other,20,star shape low flying fast
00:00.0,haren (netherlands),,,light,1200,7 orange star-like objects moving slowly
40:00.0,port louis (mauritius),,,light,180,A flying orange light at dusk moving southwards. It stopped for a while before moving up and disappeared in the pale blue dusk sky.
30:00.0,meath (ireland),,,circle,1800,7 circle shaped objects flashing lights flying in the sky compacted together then seperated
00:00.0,gampola (sri lanka),,,light,3600,We saw one red light and five strange creatures on the mountain top.
30:00.0,kalletal (germany),,,light,600,4 coloured lights in triangle shape
50:00.0,ramat gan (israel),,,fireball,3600,Balls of light in the sky of Israel.
00:00.0,heredia (costa rica),,,other,6,I saw an object shaped like a butterfly&#44 with flapping wings or layers&#44 coming down and sharply made a u-turn upwards. It was just abov
55:00.0,zalka (lebanon),,,circle,600,UFO spotted over Lebanon.
02:00.0,kota kinabalu/sabah (malaysia),,,other,180,US training in Borneo islands or just another strange sights&#33&#33&#33&#33
00:00.0,sarajevo (bosnia),,,disk,3040, ((NUFORC Note:  We are awaiting additional information.  PD))  http://www.sartelcom.net/ET/ufo_nlo/ufo_nlo_sarajevo.html
50:00.0,sigulda (latvia),,,triangle,1,We were sitting in  jacuzzi located in the backyard an whathing stars. First two flying objects seemed as a falling stars but after som
03:00.0,split (croatia),,,disk,1,((HOAX??))  UFOs over Split&#44 Croatia - 8 October 2006
00:00.0,bridgend,,,disk,900,The experience was not frightening&#44 it was a beautiful craft that we saw and if it were to come back then it would be great&#33
49:00.0,eastern usa,,,other,41,Fireball meteor impacts a car with license plate carrying a message just before NASA begins HRMS project..
15:00.0,kista (sweden),,,circle,3,2 flying objects appearing in two diffrent locations in the sky and both flying with incredible speed.
10:00.0,toulouse (france),,,light,900,A bright light could be seen in the sky&#44 it divided into 2 smaller lights that moved appart.
30:00.0,canvey island (uk/england),,,other,73800,amazing pictures in the sky of a 100% ufo what else could it be? i believe i believe i believe
35:00.0,oltenita (calarasi) (romania),,,circle,7200,Light on sky.
15:00.0,gillingham,,,diamond,900,Was me and my son.I was closing bedroom curtain nd like usually like to look out at sky for stars I then  saw a few stars twinkling in
15:00.0,gillingham,,,diamond,900,Was me and my son?I was closing bios bedroom curtain nd like unusually like to look out at sky for stars I then  saw a few stars twinkl
00:00.0,gateshead&#44tyne &amp; wear (uk/england),,,other,120,Huge aeroplane/no sound travelling overhead
00:00.0,walberswick suffolk (uk/england),,,disk,7200,Saw flying saucer with coloured lights in 1978 and then a different craft in 1979.
30:00.0,bellside/wishaw (uk/scotland),,,sphere,120,large pink luminous globe &#44bright flare close too moved at very low level silently
30:00.0,paramaribo (suriname),,,triangle,45,I saw somting last night&#44 when i was stargazing  . I live in south amerika&#44 in the neigberhood of the capitole and have a big yard 20 a
00:00.0,guatemala,,,light,10800,in guatemala city the whole city saww it and lasted 3 hours the news broadcast got it on tape is a good tape it proofs it there were fl
30:00.0,shavat (uzbekistan),,,light,30,I spotted a green light speeding in all directions in the skies of Uzbekistan.
00:00.0,srinagar&#44 kashmir (india),,,circle,180,A rotating circular and saucer shaped object changing colour with falshing lights and fast coming down towards the earth.
12:00.0,helsby&#44 cheshire (uk/england),,,formation,20,A Groupd of Dark objects moving rapidly across the evening sky.
50:00.0,rishton/blackburn&#44 lancashire (uk/england),,,unknown,2,Bright light moving in the sky
00:00.0,islamabad (pakistan),,,circle,10,((HOAX))  saw a ufo that flyed over the house and a hill
05:00.0,uk/england,,,circle,900,This craft new what it was doing
30:00.0,pendle (uk/england),,,light,900,A light hovered down the hill at a ridiculous speed.
05:00.0,walton on thames surrey (uk/england),,,unknown,300,Shimmering red and blue stayed dead still&#44 disappeared getting smaller
20:00.0,nasik (india),,,unknown,1200,We were going for an exploratry drive&#44 as we&#39d arrived in the city on that day itself. My 17 year old cousin&#44 my best friend and I were
00:00.0,vilnius (lithuania),,,unknown,1200,Strange thing in the night skies of Lithuania
30:00.0,queensland (australia),,,unknown,90,large light shot over sky.  Grew smaller and then disappered.  Didn&#39t match any  other thing I&#39ve ever seen before.
55:00.0,southmore&#44 oxforshire (uk/england),,,light,1,Flash of  billiant large white light  Oxfordshire
30:00.0,accra (ghana),,,other,5,Bright round&#44 orange glowing&#44 then changed to a bright green&#44 glowing cigar shape&#44 streaked through sky in a straight line.
05:00.0,handforth&#44 wilmslow&#44 cheshire (uk/england),,,fireball,60,Orange fireball over North East Cheshire moving South to North
00:00.0,pirenopolis (brazil),,,circle,37800,Bright white and yellow circular light over deserted forest in Brazil&#44 accelerates downwards&#44 four times
15:00.0,fauske (norway),,,other,300,What was it?
00:00.0,snappertuna (finland),,,disk,6,objekt with two lights flying over my car
30:00.0,mansa (india),,,disk,7200,15 mins of footage on national tv
30:00.0,popocatepetl volcano (mexico),,,changing,10800,Screen captures from remote web com on Popocatepetl Volcano.
00:00.0,hilversum (netherlands),,,formation,2,wing shaped formation of 10 or 12 red lights
30:00.0,st.leonards-on-sea (uk/england),,,formation,180,Four or five vapour trails seen travelling at high speed through the sky.
02:00.0,sharjah (united arab emirates),,,oval,360,At the time just when sun rises looking towards sun rise vertical plane with ~45 degree (elevation) a bright oval body appeared includi
19:00.0,seoul (south korea),,,disk,1,Among 3 pictures taken in 1 sec in a row&#44 it showed only in the middle
10:00.0,rotterdam (near) (netherlands),,,light,5,01/12/04&#44 20:10 dutchtime&#44 near Rotterdam&#44 two bright lights moving very fast&#44 from some kind of craft.
00:00.0,mandaluyong (philippines),,,disk,300,saucer in the sky&#33
30:00.0,pinar del rio (cuba),,,triangle,300,the object was moving east at low speed and soundless
45:00.0,zimbabwe,,,flash,20,UFO identified on Monday 02 November 2009 at 20:45hrs in Triangle&#44 South eastern lowveld area in Zimbabwe
30:00.0,bratislava (slovakia),,,light,240,An unknown bright red object manufacturing it&#39s light and simulating an aircraft
50:00.0,morelia (mexico),,,light,1800,Strange lights in Morelia Mexico
45:00.0,esch-an-der-alzette (luxemburg),,,light,60,Time: 18:45 (6:45 PM).Date: 11/02/2013 (2 November 2013).Location: Esch-an-der-Alzette&#44 Luxemburg. Description of event: Wa
00:00.0,burton on trent  (staffordshire) (uk/england),,,light,180,Red/green lights moving at various speeds.
00:00.0,ballina (republic of ireland),,,disk,30,Large metallic disk in Irish countryside
00:00.0,ledegem (belgium),,,,7200,Gentlemen&#44  my person saw at the date and time ( could be I missed a few hours or a day because it was in the distance ) a non moving
50:00.0,beynes (france),,,triangle,3600,Full Description of event/sighting: What appears to be directly or very close to the National Police/Military Special Forces training c
25:00.0,uk/england (in flight),,,unknown,5,2 flying objects close to England in front of the airplane
00:00.0,peacehaven (uk/england),,,light,15,lights in sky in peacehaven
05:00.0,scottish borders (uk/scotland),,,unknown,600,three orange lights over the Scottish Borders
30:00.0,bangalore (india),,,circle,1500,Bright lighted object seen at Bangalore 22nd November 2008
00:00.0,kuwait,,,light,5,one light over Camp LSA&#44 Kuwait; moving fast - made a &quot;z&quot; maneuver.
10:00.0,baku (azerbaijan),,,cigar,20,Baku Fir north of bekir point
30:00.0,cape town (south africa),,,,120,MOON SIZED OBJECT SEEN.
00:00.0,west sumatra (indonesia),,,oval,3600,Oval shape craft with lights around attached to the craft. with haze.
30:00.0,quintana roo (secrets capri) (mexico),,,formation,60,Our first night in Cancun&#44 we randomly ended up having dinner outside.  My wife (completely not a UFO believer) happened to notice some
25:00.0,oud-heverlee (belgium),,,other,1,A full oval illuminated ball motioned at low altitude
45:00.0,philippines,,,unknown,900,It was night of the month of november&#44 there was an electric failure&#44 so the whole place was dark. Me and my sister are fond of looking
00:00.0,puerto vallarta (mexico),,,circle,120,Large spheric objects in the sky.
00:00.0,ettalong beach nsw (australia),,,cigar,30,It was a clear Summer day and I had no alcohol in my system.
00:00.0,barnala sherpur (village) (india),,,triangle,1800,long cyclinderical or triangle ufo sighted in India
13:00.0,thornton-cleveleys (uk/england),,,changing,720,YOU MUST READ THIS&#33&#33&#33&#33&#33&#33&#33 This could not of been 5 planes they were far too close to each other........
30:00.0,suva (fiji),,,oval,3600,Two bright light objects distinctive from stars or plane. they were stationary most of the time but going up and down slowly. they brig
00:00.0,bicester&#44 oxfordshire (uk/england),,,circle,60,STATIONARY CIRCLE OF 12 EQUIDISTANT WHITE LIGHTS.
50:00.0,guwahati (india),,,light,300,2 objects in a ziz zag pattern crossing the clear evening sky over Guwahati state capital of Assam India
45:00.0,new delhi (india),,,circle,1,I was smoking ouside my office gallery. I saw a bright star like object in the sky. I thought it is an aeroplane. suddenly the light we
00:00.0,playa del carmen,,,light,180,Three sets of three red-coral neon lights in line&#44 &quot;following&quot; one another&#44 from mainland crossing to Cozumel island&#44 in M&eacute;xico
00:00.0,petrinja (croatia),,,light,900,An unknown light/object over a hill in Petrinja
00:00.0,amed,,,disk,900,Silent ufo hanging over the ocean bali
00:00.0,bhubaneswar (india),,,other,120,While our games period was going on&#44 we observed a very peculiar shaped flying object. It was of black color with a shield of aura arou
02:00.0,sundsanvik (sweden),,,disk,600,Golden Light-White Syncron Light-Ruby Red Cloud-Dark Blue Star Light
00:00.0,dhahran (saudi arabia),,,circle,600,A very bright circular light hovering for about ten minutes and then vanishing in a split second.
00:00.0,cancun (mexico),,,,1200,WAS  JUST BEFORE SUNSET&#44  AIRCRAFT  MIDLE ALTITUDE&#44 FLYING FROM NORTH EAST TO SOUT WEST APERA LIKE A SPACE CRAFT  ENTERING THE ATHMOSFE
00:00.0,uk/england,,,oval,420,3 oval shaped ships with bright lights/beams
30:00.0,hervery bay (australia),,,unknown,3,Extremely Bright Flash Of light at night
00:00.0,jalgaon (india),,,fireball,60,my mom&#44 me&#44 my dog we were in large open ground. we r walking there.we saw that FireBall in the sky direction of south side.that fire b
20:00.0,moram (uk/scotland),,,sphere,300,Large sphere floating in two halfs then moving together before moving south.
11:00.0,iceland (approximately; over water),,,fireball,1200,unusual lights over oceans
00:00.0,siedlce (poland),,,diamond,40,It was a shock for my and my friends. I&quot;ve never seen such a thing&#33
35:00.0,republic of ireland,,,unknown,420,Alien sighting.  ((NUFORC Note:  Possibly not a serious report.  We cannot be certain.  PD))
00:00.0,kolar (bangalore) (india),,,light,7200,bright objects changing colour in the sky.  ((NUFORC Note:  Sirius.  PD))
00:00.0,queensland (australia),,,circle,300,Another fireball report
10:00.0,seoul (south korea),,,fireball,10,Low flying orange ball flies over Seoul&#44 disappears
15:00.0,paphos,,,sphere,30,Nothing man made can be so big and fly so slow&#44make no sound and make night into day.
16:00.0,derby/leicester border (uk/england),,,triangle,300,triangular ufo &#44 Derby&#44Leicester border 28/11/01
00:00.0,honiara (aku malaita) (solomon islands),,,circle,10800,The object covers the sun.
30:00.0,bucharest (romania),,,sphere,2700,UFO ALSO IN ROMANIA CLOSE TO BUCHAREST
05:00.0,glan conwy (uk/england),,,sphere,60,Sphere full of golden lights with larger flashing golden light in centre travelling at speed &amp; height of helicopter from East to West.
30:00.0,abu dhabi (uae),,,changing,900,weird experience
50:00.0,arnhem (netherlands),,,rectangle,20,8 lights above Arnhem Netherlands
45:00.0,new delhi (india),,,diamond,13,To the xtreme left of Venus&#44 I suddenly noticed a bright star like object come down at high speed.  I thought it&#39s a plane.
30:00.0,aurangabad.maharashtra (india),,,fireball,60,NUFORC Note:  Witness reports fireball.  PD))
00:00.0,cape town (south africa),,,fireball,1200,While walking through the bushes and keeping an eye out for lions we saw a number of fiery objects flw slowly through the sky not far f
30:00.0,gopeng&#44 perak (malaysia),,,disk,1500,6 UFOs appeared above an orphange in Malaysia entertaining kids with unique flight formations
00:00.0,tulum (mexico),,,changing,14400,Bright multi-colored&#44 pulsating cigar shaped object observed near Tulum&#44. Mexico
37:00.0,puerto vallarta (mexico),,,unknown,900,bright strobe light ufo seen over bay in puerto vallarta&#44 mexico
30:00.0,sandys (bermuda),,,light,300,I saw a flashing light in Sandy&#39s Bermuda. The light would fade and then go bright again.
11:00.0,budel (netherlands),,,light,2700,Sighting of Light
00:00.0,huatulco (mexico),,,sphere,5,Huatulco ufo. Brown disc shape&#44 flat sides. &quot;Windows&quot; showing.
20:00.0,cuenca (ecuador),,,light,60,0020 hours GMT I saw a white bright pinpoint  light brigher than Jupiter travelling South to North 2.5 faster than a satellite&#44
00:00.0,mount lavinia (sri lanka),,,triangle,120,When i was out a triangle shaped lights just flew over.
00:00.0,klerksdorp (south africa),,,oval,300,Red oval object with flat top changing color as moved away
00:00.0,northern europe (undisclosed city),,,disk,60,Saucer disc&#44 saw it twice report around three weeks late
00:00.0,groningen (netherlands),,,light,1200,Radar-visual sighting dur. 20 minutes - audio tape from ATC by experiecend pilot of two intelligent lights
00:00.0,shiraz (iran),,,circle,13,It was a round object pulsating green light all over it. It was there and then suddenly vanished.
55:00.0,frederiksted (st. croix&#44 us virgin islands),,,flash,120,Streaks of light moving quickly and erratically around an open field.
45:00.0,zama (japan),,,egg,60,Two egg shaped lights slowly circling around each other.
00:00.0,gatwick airport (uk/england),,,triangle,120,Black triangle sighting - via strange white light effects
00:00.0,bogor,,,oval,240,Mysterious glowing aeroplane at night
